Month,Year,Letter,Subject,Yes Votes,No Votes,Pass or Fail,Percent,Type Measure,By,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
NOV,1973,M,Childcare,96454,79883,P,0.547,P,I,Childcare,,,,
JUN,1974,A,BART- Election of Directors,94020,58641,P,0.616,C,S,BART Directors,,,,
JUN,1974,B,Conflict of Interest-CCSF Officers/Employees,103076,40510,P,0.718,C,S,Conflict of Interest,Ethics,,,
JUN,1974,C,"Open Space, 10 cents per $100 tax",73971,78055,F,0.487,C,S,Open Space,Parks,Tax,,
JUN,1974,D,"City offices, open Election Day",109252,43171,P,0.717,C,S,Holidays,Election Day,,,
JUN,1974,E,Retirement for those retired prior to 1972,96714,54116,P,0.641,C,S,Retirement,,,,
JUN,1974,F,Firefighter list E-25,110369,36822,P,0.750,C,S,Fire Department,Firefighter,List E-25,,
JUN,1974,G,"Fire Department, reorganization, Commission Powers",95536,46552,P,0.672,C,S,Fire Department,Reorganization,,,
JUN,1974,H,"Appoint Clerk of Board, ERD, County Clerk",68897,76282,F,0.475,C,S,Clerk Board,Empl.Relatns,Civil Service,Appointments,
JUN,1974,I,Motor Vehicle Fuel Revenues for mass transit public,108073,40020,P,0.730,P,S,Gas Tax,Transit,Mass Transit,,
JUN,1974,J,Street Artists-Issued Police Peddler Permit,81099,70599,P,0.535,O,I,Street Art,Artists,Peddler Pmt,,
NOV,1974,A,"Fire Protection Bonds $4,000,000",139987,44169,P,0.760,O,S,Fire Department,Water Main,,,
NOV,1974,B,Zoning Appeals - Conflict of Interest,105177,71163,P,0.596,C,S,Zoning,Appeals,Conflict Int,Supervisors,
NOV,1974,C,"Voters Pamphlet - Ballot Arguments, Simplification",124674,50525,P,0.712,C,S,Voters,Ballot Pamph,Pamphlet,,
NOV,1974,D,Supplemental Appropriation - 2/3 vote,117399,54606,P,0.683,C,S,Appropriation,Votes,Supplemental,,
NOV,1974,E,Appoint Clerk of Board; not by C.S. exam,81891,96047,F,0.460,C,S,Clerk Board,Civil Service,Appointment,,
NOV,1974,F,County Clerk appointive-not by C.S. exam.,84485,93062,F,0.476,C,S,County Clerk,Civil Service,,,
NOV,1974,G,"Fire Department, widows pensions; married after fireman's",122333,61027,P,0.667,C,S,Fire Department,Windows,Retirement,Pension,
NOV,1974,H,Police & Fire retirement allowance,97084,81230,P,0.544,C,S,Police & Fire,Retirement,,,
NOV,1974,I,"Employee Relations Director, CAO Appoints",89155,85014,P,0.512,C,S,Employ Relations,CAO,Appointment,Civil Service,
NOV,1974,J,Open Space Park Renovation 10 cents per $100 tax,116653,64408,P,0.644,C,S,Open Space,Parks,Tax,,
NOV,1974,K,Golden Gate Park structures; 2/3 vote,106068,72182,P,0.595,C,S,Golden Gate,Park Street,,,
NOV,1974,L,Salary Standardization,90520,102228,F,0.470,C,S,Salaries,Pay,Prevail Wage,Compensation,
NOV,1974,M,Fire and Police Retirement benefits,90569,87347,P,0.509,C,S,Police & Fire,Retirement,Death benefit,,
NOV,1974,N,"School Food Complex at Double Rock site, Tax",107014,68695,P,0.609,P,S,School Food,Double Rock,School Tax,"Food, School",
NOV,1975,A,Sewer Plant South of the Zoo,146836,43363,P,0.772,C,S,Sewer Plant,Zoo,Park,,
NOV,1975,B,"Rate of pay, trades & crafts",131407,63640,P,0.674,C,S,Repeal pay,Trades,Crafts,Pay,Street Sweep
NOV,1975,C,Budget Schedule and Appropriation Transfers,124178,60149,P,0.674,C,S,Budget,Appropriate,Transfer $,,
NOV,1975,D,"Police, Fire, Civil Service Comm., 5 members, 1 woman",96136,91630,P,0.512,C,S,Police Comm.,Fire Comm.,Civil Service,Women,Commissions
NOV,1975,E,Airport Police; Reclassify as S.F. Police Officers,44549,143752,F,0.237,C,S,Police,Airport,,,
NOV,1975,F,Boards and Commissions-Votes & Rules,159477,23436,P,0.872,C,S,Votes,Commissions,Rules,Boards,
NOV,1975,G,Airport Police probation - one year,93198,90264,P,0.508,C,S,Airport,Police,Probation,,
NOV,1975,H,Conflict of Interest,90953,88595,P,0.507,C,S,Conflict of Interest,,Ethics,Interests,
MAR,2000,A,Recreation & Park Bonds,144474,38885,P,0.788,B,S,Recreation,Park,Bonds,,
NOV,1975,I,"Veteran's Preference, peacetime service",68921,117058,F,0.371,C,S,Veterans,Civil Service,Examinations,Peacetime,
NOV,1975,J,Candidate petition in lieu of filing fee,129105,53153,P,0.708,C,S,Candidates,Filing Fee,Petition,,
NOV,1975,K,Tax rate formula; previous year's tax rate prevails,77492,104471,F,0.426,C,S,Tax Rate,,,,
NOV,1975,L,Street Artists,114359,73762,P,0.608,O,S,Street Art,Artists,,,
NOV,1975,M,Street Artists Initiative,79804,106678,F,0.428,O,I,Street Art,Artists,Peddlers,,
NOV,1975,N,Limitation Mayor's Power; Public Emergencies,126538,60989,P,0.675,C,S,Emergencies,Mayor,Board of Sup,Powers,
NOV,1975,O,Dismiss Police & Firemen who strike,136847,55796,P,0.710,C,S,Police& Fire,Strikes,Dismissal,,
NOV,1975,P,"Police & Fire pay = that in cities over 350,000",129413,64059,P,0.669,C,S,Police & Fire,Salaries,,,
NOV,1975,Q,Fire Department. work schedules 14 hour maximum,120455,71836,P,0.626,C,S,Fire Department,Work Day,,,
NOV,1975,R,Police & Fire Departments. Binding Arbitration,71365,120999,F,0.371,O,M,Binding Arbitration,Arbitration,Police &Fire,Salaries,
NOV,1975,S,Police & Fire salaries match 5 California cities,55417,135364,F,0.290,P,M,Police Pay,Fire Pay,Match CA cty,CA city pay,
JUN,1976,A,Registrar of Voters in charge of elections,142528,27000,P,0.841,C,S,Registrar,CAO,Voting,Elections,
JUN,1976,B,Suspension of Employees,122323,46174,P,0.726,C,S,Supervisor,Civil Service,Employees,,
JUN,1976,C,"Leaves, American Red Cross members",137964,27708,P,0.833,C,S,Red Cross,Leaves,World War II,,
JUN,1976,D,Inspection of examination papers,116316,47374,P,0.711,C,S,Examination,Inspect Exam,Fees,Civil Service,
JUN,1976,F,Appointment of Employee Relations Director by B.O.S,130502,33535,P,0.796,C,S,Employee Relations,ERD,Appointment,Board of Sup,CAO
JUN,1976,G,Police-Fire salaries,124143,41345,P,0.750,C,S,Police & Fire,Salaries,,,
JUN,1976,H,Veteran's Preference in examinations,107358,53610,P,0.667,C,S,Veterans,Civil Service,Preference,,
JUN,1976,I,"Child Care, Continue",71831,100154,F,0.418,P,S,Child Care,,,,
JUN,1976,J,Prevailing rates of wages,130325,32671,P,0.800,P,S,Wage Rates,,,,
JUN,1976,L,Multi-year compensation schedules,113943,48477,P,0.702,C,S,Salaries,,,,
NOV,1976,A,"Sewer Revenue Bonds 1976; $240,000,000",159231,65231,P,0.709,B,S,Sewer Bonds,,,,
NOV,1976,B,Disciplinary action striking employees,136467,91229,P,0.599,C,S,Strikers,Employees,,,
NOV,1976,C,Hearing Officers for Employee Dismissals,170485,47313,P,0.783,C,S,Hearing Officer,Employees,Dismissals,Discipline,
NOV,1976,D,Prevailing rates of wages; Bay Area Counties,139155,80094,P,0.635,C,S,Wages,Salaries,Bay Area,Prevail Wage,
NOV,1976,E,Rule of 3 - Civil Service Appointments,119293,100041,P,0.544,C,S,Rule of 3,Civil Service,,Three Rule,
NOV,1976,F,Examinations for laborers,138257,73912,P,0.652,C,S,Laborers,Examination,Civil Service,,
NOV,1976,G,Civil Service status for Attorneys,68227,138472,F,0.330,C,S,Attorneys,Civil Service,,,
NOV,1976,H,Civil Service exempt Undersheriff,94146,118662,F,0.442,C,S,Undersheriff,Sheriff,Civil Service,Exempt,
NOV,1976,I,"Civil Service Exempt, Management positions",98182,112777,F,0.465,C,S,Contract Out,Private Cntr,,,
NOV,1976,J,Services by private contractors,130422,79649,P,0.621,C,S,Contracting,Out to priv.,Companies if,Less than,CSwrkrs.
NOV,1976,K,Art Commission membership,156987,54204,P,0.743,C,S,Art Commission,Commission,Dance,Theater,
NOV,1976,L,Retirement Lower Benefits,116229,93644,P,0.554,C,S,Retirement,Employees,,,
NOV,1976,M,Retirement System Amortization - 20 years,65433,140324,F,0.318,C,S,Retirement,Amortization,,,
NOV,1976,N,Mayoral run off election Tuesday not Thursday,169210,39422,P,0.811,C,S,Election,Runoff,Mayor,,
NOV,1976,O,Salaries decided by voters,125143,83769,P,0.599,C,S,Salaries,Voters,Impass,,
NOV,1976,P,Revenue Bonds & Lease Financing decided by voters,148727,49047,P,0.752,C,S,Revenue Bond,Lease,Bonds,Voters,
NOV,1976,Q,Housing Projects,130533,68866,P,0.655,P,S,Housing,Low Rent,,,
NOV,1976,R,Traffic Barriers,75314,124376,F,0.377,P,s,Traffic,Barriers,,,
NOV,1976,S,Yerba Buena - Convention exhibit hall,119611,85081,P,0.584,P,S,Convention,Center,Hotel Tax,,
NOV,1976,T,District Elections of Supervisors,115192,104524,P,0.524,C,I,Districts,Supervisors,Elections,,
AUG,1977,A,At Large Election of Supervisors,72014,97242,F,0.425,C,I,At Large,Supervisors,Districts,Elections,
AUG,1977,B,At Large Election of Supervisors from Districts,62185,112123,F,0.357,C,I,At Large,Supervisors,Districts,Elections,
NOV,1977,A,"Park Irrigation Bonds, $9,270,000",106889,53384,P,0.667,B,S,Rec. & Park,Park,Irrigation,,
NOV,1977,B,"Fire Protection Bonds, $6,000,000",112241,44409,P,0.717,B,S,Fire Department,Fireboat,Water,,
NOV,1977,C,"Airport Revenue Bonds, $90,000,000, Renovations",81630,78112,F,0.511,B,S,Airport,,,,
NOV,1977,D,Airport Revenue Bond Procedure,74657,79441,F,0.484,C,S,Airport,Bonds,Revenue Bond,Supervisors,
NOV,1977,E,Duties of the Mayor - Full Time,116216,46326,P,0.715,C,S,Mayor,Full Time,Time,,
NOV,1977,F,Term of Chief Administrative Officer 10 years,128551,29037,P,0.816,C,S,CAO,Term,Ten Years,,
NOV,1977,G,Budget Reductions,87016,66748,P,0.566,C,S,Mayor,Supervisors,Budget,Employees,Compensation
NOV,1977,H,Dental Plan,67985,91048,F,0.427,C,S,Dental Plan,Employee,Health,,
NOV,1977,I,"Pension Increase, Males",89926,65937,P,0.577,C,S,Pension,Employees,Male,Retirement,
NOV,1977,J,Disability Hearing Officers,62739,89563,F,0.412,C,S,Disability,Hearing Off,Retirement,,
NOV,1977,K,Supervisors' Administrative Assistants,94805,61584,P,0.606,C,S,Admin Assistants,Supervisors,CivilService,Assistants,
NOV,1977,L,CAO Executive Assistant,92962,59614,P,0.609,C,S,CAO,Executive,Assistant,CivilService,
NOV,1977,M,Fire Department Promotional exams,92947,62476,P,0.598,C,S,Fire Department,Seniority,Examinations,Promotional,
NOV,1977,N,"Public Works Projects $5,000 to $10,000",103178,51174,P,0.668,C,S,Public Work,Contracts,Employees,Projects,
NOV,1977,O,"Contracts, Increase Amount of Progressive Payments",80210,67259,P,0.544,C,S,Contract,Progress Pay,Payments,Partial,Contractors
NOV,1977,P,"Official Newspaper Advertising, 3 days a week",102724,47697,P,0.683,C,S,Official,Newspaper,Advertising,Notices,
NOV,1977,Q,Electrical Worker Contract/Benefits,27565,125024,F,0.181,O,L,Unsettled,Electricians,Contract,Benefits,Demands
NOV,1977,R,Plumbers and Pipe Fitters Contract/Benefits,25361,124580,F,0.169,O,L,Plumbers,Unsettled,Contract,Benefits,Demands
NOV,1977,S,Sheet metal Workers Contract/Benefits,26861,125196,F,0.177,O,L,Sheet metal,Contract,Benefits,Demands,Unsettled
NOV,1977,U,"International Hotel, Transfer to Housing Authority",52529,107665,F,0.328,P,s,International,Hotel,I Hotel,Housing,
NOV,1977,V,Fleishhacker Pool Renovation,51357,105295,F,0.328,P,s,Fleishhacker,Pool,Renovation,,
NOV,1977,W,Citywide Billboards Removal,67412,88531,F,0.432,P,s,,,,,
JUN,1978,C,Fire Department Weekly Work Schedules 48.7 hours,99593,60417,P,0.622,C,S,Fire Department,Hours 48.7,,,
JUN,1978,D,"Muni Railway Work Contracts, Multi Year",101054,59909,P,0.628,C,S,Muni railway,Contracts,Wages,Negotiations,Multi Year
JUN,1978,E,Former Supervisors Health Benefits,40262,121423,F,0.249,C,S,Benefits,Supervisors,Health,Insurance,
JUN,1978,F,Run-Off Elections,105738,53069,P,0.666,C,S,Run-Off,Election,Majority,Vote,
JUN,1978,G,Rotation of Candidates Names on Ballot,114933,36703,P,0.758,C,S,Rotation,Candidates,Ballot,Supervisor,District
JUN,1978,H,"Airport Revenue Bonds, Exempt From Voter Approval",93941,60354,P,0.609,C,S,Airport,Revenue,Bonds,Refunding,Voter
JUN,1978,I,"Federally Assisted Financing, Voter Approval",49749,99908,F,0.332,C,S,Federal,Loans,Financing,Voter,
JUN,1978,J,Regulation of Taxicab Permits,70870,86866,F,0.449,O,s,Taxicab,Permits,,,
JUN,1978,K,Regulation of Taxicab Permits,80570,77481,P,0.510,O,s,Taxicab,Permits,,,
JUN,1978,L,Charter Commissioners to be elected,81913,69561,P,0.541,P,s,Charter,Commissioner,,,
NOV,1978,A,"Transportation Commission, Creation of",92865,94042,F,0.497,C,S,Transport,Commission,PUC,Muni,PUC
NOV,1978,B,"Civil Service Commission, Expand Powers/Duties",104398,77121,P,0.575,C,S,Civil Service,Commission,Promotions,Examinations,Probation
NOV,1978,C,"Finance & Records Department, Reorganization",133143,41272,P,0.763,C,S,Finance,Record,Tax,Treasurer,Registrar
NOV,1978,D,"Commission Members, Removal",72893,107126,F,0.405,C,S,Commission,Mayor,Removal,,
NOV,1978,E,"Leaves of Absence, Permission to Leave State",75014,100903,F,0.426,C,S,Leave State,Absence,Officers,State,Permission
NOV,1978,F,"Sick Leave, Payment for Unused",105574,77212,P,0.578,C,S,Sick Leave,Leave,Vested Sick,Payment,
NOV,1978,G,Eliminate Mandatory Retirement at age 65,133762,55956,P,0.705,C,S,Retirement,Age 65,,,
NOV,1978,H,"Printing Contracts, Prevailing Wages",59333,119018,F,0.333,C,S,Prevail Wage,Printing,Contracts,,
NOV,1978,I,Leases/Contracts in excess of 10 years or $1,119280,51683,P,0.698,C,S,Real Property,Property,Leases,Contracts,Supervisors
NOV,1978,J,"Street Artists, 100 More Certificates",67896,119315,F,0.363,O,S,Street Art,Artists,,,
NOV,1978,K,"Taxes, Business & Property Transfer, Re-enact",70054,105945,F,0.398,O,M,Tax,Business,Property,Transfer,Re-enact
NOV,1978,L,"Engineers, Wages/Benefits",43384,131089,F,0.249,O,L,Engineers,Wages,Benefits,Contract,
NOV,1978,M,"Laborers, Wages/Benefits",56411,115856,F,0.327,O,L,Laborers,Wages,Benefits,Contract,
NOV,1978,N,"Glassiers, Glassworkers, Wages/Benefits",52414,117155,F,0.309,O,L,Glassier,Glassworkers,Wages,Benefits,Contract
NOV,1978,O,"Bricklayers, Stonemasons, Wages/Benefits",51894,118101,F,0.305,O,L,Bricklayers,Stonemasons,Wages,Benefits,Contract
NOV,1978,P,"Hod carriers, Wages/Benefits",50112,119867,F,0.295,O,L,Hod carriers,Wages,Benefits,Contract,
NOV,1978,Q,"Electricians, Wages/Benefits",41287,128846,F,0.243,O,L,Electricians,Wages,Benefits,Contract,
NOV,1978,R,"Plumbers, Wages/Benefits",37598,132246,F,0.221,O,L,Plumbers,Wages,Benefits,Contract,
NOV,1978,S,"Sheet Metal Workers, Wages/Benefits",42257,127533,F,0.249,O,L,Sheet Metal,Wages,Benefits,Contract,
NOV,1978,U,"Rent Control, Property Tax Saving",97279,108485,F,0.473,O,I,Rent Control,Rebate,Property Tax,Tax Saving,
NOV,1978,V,"Military Expenditures, Federal Government",108647,70350,P,0.607,P,I,Military,Jobs,Federal Govt,,
NOV,1978,W,Marijuana Cease Arrest for Possession,107561,81169,P,0.570,P,I,Marijuana,Arrests,,,
NOV,1978,X,Charter Revision Commission,100107,78247,P,0.561,P,S,Charter,Commission,,,
NOV,1979,A,Police-Fire Collective Bargain Binding Arbitration,79881,100431,F,0.443,C,S,Police & Fire,Arbitration,Binding Arbi,Collective,Bargaining
NOV,1979,B,"Civil Service Commission, Senior Executive Service",73834,92598,F,0.444,C,S,Civil Service,Senior Exec,Executive,Management,
NOV,1979,C,"Temporary Employees, Promotional Opportunities",126604,42115,P,0.750,C,S,Temporary,Promotional,Examination,Employees,
NOV,1979,D,"Public Health Director, Appoint 4 Administrators",80158,84758,F,0.486,C,S,Health,Administrat,CivilService,Exempt,
NOV,1979,E,"Public Works Director, Appoint 3 Dep. Directors",84808,75427,P,0.529,C,S,Public Works,Administratr,CivilService,Exempt,
NOV,1979,F,"Chief Adm. Officer, Confidential Secretary",82363,78920,P,0.511,C,S,Civil Service,Confidential,Secretary,CAO,Exempt
NOV,1979,G,"Public Health Director, Licensed Physician",88962,75714,P,0.540,C,S,Health Director,Health Dir,Physician,,
NOV,1979,H,"Retirement Board, Retirement Trust Fund",134177,25446,P,0.841,C,S,Retirement,Trust Fund,,,
NOV,1979,I,"Retirement Board, Pension Funds",127737,28674,P,0.817,C,S,Retirement,Pension,Funds,,
NOV,1979,J,"Budget, Appropriation & Salary Ordinances",79165,72694,P,0.521,C,S,Budget,Appropriate,Ordinances,Interim Ord,
NOV,1979,K,"Budget Estimates, Change Departmental Deadlines",106869,50440,P,0.679,C,S,Budget,Estimates,,,
NOV,1979,L,"Utility Debt, General Obligation Bonds",103143,52704,P,0.662,C,S,Utility Debt,"Bonds, G.O.",,,
NOV,1979,M,"Taxicab Permits, Transferrable",77802,91375,F,0.460,O,S,Taxicab,"Permits,Taxi",,,
NOV,1979,N,"Convention Center Parking Garage, Financing",90628,70226,P,0.563,P,S,Parking,Convention C,Financing,Moscone Cntr,
NOV,1979,O,"Downtown Area, Lower Height Limits & FAR",82922,99104,F,0.456,O,I,Planning,Downtown,Height Limit,High-Rise,
NOV,1979,P,"Business Tax Increase, Larger Businesses Tax",83478,90050,F,0.481,O,I,Business Tax,,,,
NOV,1979,Q,"Police Department, Vice Squad, Abolish",66859,110417,F,0.377,O,I,Police Dept.,Vice Squad,,,
NOV,1979,R,Rent Control Revision,76378,112003,F,0.405,O,I,Rent Control,Condominiums,,,
AUG,1980,A,At Large Election of Board of Supervisors,69654,68048,P,0.506,C,I,At Large,Districts,Board of Sup,Supervisors,Election
JUN,1980,A,"Housing Revenue Bond Issue, $100,000,000",120166,46433,P,0.721,B,S,Housing,,,,
JUN,1980,B,"Housing Revenue Bonds, authority to sell",98777,65538,P,0.601,C,S,Housing,Bond Process,Financing,,
JUN,1980,C,Convention Facilities Manager,101403,60104,P,0.628,C,S,Brooks Hall,Civic Aud.,Moscone Ctr.,CAO,Convention
JUN,1980,D,Four Deputy Health Directors/Administrators,71635,87999,F,0.449,C,S,Health,Deputy Dir.,CivilService,,
JUN,1980,E,"Associate Administrators, General Hospital",65920,92165,F,0.417,C,S,Hospital,Deputy Adm,Civil Cvc,General Hosp,
JUN,1980,F,"Firefighters Work Schedules, 24 hours shifts",80914,79502,P,0.504,C,S,Workday,Schedules,Firefighters,,
JUN,1980,H,"Health Benefits, Temporary Employees",68239,95768,F,0.416,C,S,Health Svc,Benefits,Temporary,Employees,
JUN,1980,I,"Health Benefits, Board of Supervisors",76073,86103,F,0.469,C,S,Health Svc,Benefits,Board of Sup,Supervisors,
JUN,1980,J,"Salaries, Board of Supervisors, 25% of Mayor",64456,101994,F,0.387,C,S,Salaries,Supervisors,Board of Sup,,
JUN,1980,K,Retirement Board Hearing Officers,89048,71388,P,0.555,C,S,Retirement,Hearing Off,Disability,Death,
JUN,1980,L,One Cent Motor Fuel Tax,83966,80442,P,0.511,P,S,Gas Tax,Fuel Tax,Tax,Gasoline Tax,
JUN,1980,M,Cable Car Fares may exceed other MUNI fares,84201,86058,F,0.495,C,S,Cable Cars,Fares,Muni railway,Streetcars,Buses
JUN,1980,N,"Non-airline, 25% to General Fund",101707,54788,P,0.650,C,S,Airport,Revenuesine,General Fund,,
JUN,1980,O,"Hotel Occupancy Tax, 1.75% to General Fund",119083,43986,P,0.730,O,S,Hotel Tax,Tax,General Fund,,
JUN,1980,Q,Payroll Expense Tax and Gross Receipts Tax,87279,71683,P,0.549,O,S,Payroll Tax,TaxEmployers,Business Tax,Gross Rcpts,
JUN,1980,R,"Parking Tax, change from 15% to 25%",96540,68849,P,0.584,O,S,Tax,Surcharge,Parking Tax,Parking Lots,Garages
JUN,1980,S,"Business Tax, Non-profit Garage Corporations",105679,52833,P,0.667,O,M,Parking Tax,Garages,Non-profit,,
JUN,1980,T,"Sewer Revenue Bonds, Rescind authority",63677,97660,F,0.395,O,s,Sewer Bonds,Revenue Bond,Rescind Bond,,
JUN,1980,V,Corporate Taxation big business pay 60% of taxes,69631,102184,F,0.405,O,I,Inflation,Business Tax,Corporate,Tax,Revenue
NOV,1980,A,"Charter, New Proposed",93245,108969,F,0.461,C,C,Charter,,,,
NOV,1980,B,Conflicts of Interest,120413,72866,P,0.623,C,S,Conflict of Interest,Ethics,,,
NOV,1980,C,"Fares, Municipal Railway, Supervisors may change",113098,88283,P,0.562,C,S,Fares,PUC,Muni railway,Supervisors,
NOV,1980,D,"Health Service System, Retirement System, Separate",116366,78868,P,0.596,C,S,,Benefits,Health Svc,Retirement,
NOV,1980,E,"Salaries, Police, Fire, Reduction Protection",131894,66465,P,0.665,C,S,Police & Fire,Salaries,,,
NOV,1980,F,"Retirement Benefits, Police & Fire, Buy-out",131510,65250,P,0.668,C,S,Police & Fire,,Buy-out,Retirement,Benefits
NOV,1980,G,"Retirement Benefits, Police & Fire, Vesting",121471,79116,P,0.606,C,S,Retirement,Benefits,Police& Fire,Fire,Vesting
NOV,1980,H,Fire Protection Services,98021,100038,F,0.495,C,I,Fire,Protection,Personnel,Stations,Facilities
NOV,1980,I,"Electrical Workers, Compensation, Benefits",47463,137182,F,0.257,O,L,Local 6,Electricians,Compensation,Hours,Benefits
NOV,1980,J,"Laborers, Premium Pay, Raw Sewage",94038,90091,P,0.511,O,L,Laborers,Premium Pay,Pay,Raw Sewage,Sewage
NOV,1980,K,"Housing, Residential, 20,000 Units",123507,72411,P,0.630,P,s,Housing,Residential,New Housing,,
NOV,1980,L,"Cost-of-Living Adjustment, Retired Employees",105452,84196,P,0.556,P,s,Cost Living,Retirement,,,
NOV,1980,M,Corporate Business Tax,113980,93507,P,0.549,P,I,Business Tax,Corporations,Tax,,
NOV,1980,N,"Supervisors, District Elections",106759,115858,F,0.480,C,2,Supervisors,District,Elections,,
NOV,1981,A,Issue Airport Rev. Bonds without voter approval.,51475,41086,P,0.556,C,S,Airport Comm.,Bond Airport,Revenue Bond,,
NOV,1981,B,Cable Car Fares/Different than other Muni system,58622,35802,P,0.621,C,S,Cable Cars,Muni railway,PUC,"Fares, Cable",
NOV,1981,C,USD & CCD To Pay Share of Workers' Comp. Admin.,72470,17497,P,0.806,C,S,Workers Comp,School Dist.,Comm College,,
NOV,1981,D,Survivor Benefits/Assassinated Elected Officials,21960,69669,F,0.240,C,S,Survivor,Assassinated,Benefits,Dependents,Elected Off.
NOV,1981,E,Retirement Allowance Increase Misc. Employees,60387,32240,P,0.652,C,S,Employees,Retirement,,,
NOV,1981,F,Supervisors To Negotiate Maximum Nurses' Salary,46869,45194,P,0.509,C,S,Nurses,Salaries,Supervisors,Negotiation,Hospitals
NOV,1981,H,Public Health Administrators,28377,61812,F,0.315,C,S,Deputy Dir.,Health,General Hosp,Hospital,CivilService
NOV,1981,I,"Art Commission, Exec. Dir. Authority re: Personnel",23478,65353,F,0.264,C,S,Art Comm.,CivilService,Personnel,Appointment,Curators
NOV,1981,J,Sheriff Authority To Appoint/Remove Asst. Sheriff.,54761,34395,P,0.614,C,S,Sheriff,Asst Sheriff,Appointment,CivilService,
NOV,1981,K,Tax Rate Computation To Conform w/State Formula,60387,27244,P,0.689,C,S,Property Tax,Assessed Val,Tax Rate,,
JUN,1992,A,Golden Gate Park Improvement Bonds,120197,44904,P,0.728,B,S,Park,Golden Gate,,,
NOV,1981,L,"Change Purchasing Limit From $2,000 to $15,000",54420,33963,P,0.616,C,S,Purchasing,CAO Approval,Public Works,Contracts,
NOV,1981,M,Construction Contracts; Approval of Modifications,56195,31693,P,0.639,C,S,Construction,Contract,Dept Heads,,
NOV,1981,N,Closed Negotiations Sessions by Committee,20674,68863,F,0.231,C,S,Negotiations,Committees.,Commissions,Labor Negot.,Closed Sess.
NOV,1981,O,Board Presidency Term To Coincide w/Sup. Terms,33825,54913,F,0.381,C,S,Board of Sup,Board Pres.,Supervisors,Election,President
NOV,1981,P,Repeal Taxicab Initiative Ordinance,20434,70934,F,0.224,O,s,Taxicab,Taxi Permits,Police Comm.,Repeal Ord.,Board of Sup
NOV,1981,Q,Salary Dispute-Electricians,16829,70911,F,0.192,O,s,Electricians,Salary,Contract,"IBEW, Local6",Compensation
JUN,1982,A,Tax Anticipation Notes by State Law or Ordinance,92020,49889,P,0.648,C,S,Tax Antic,Borrowing,Notes Tax,Tax Notes,
JUN,1982,B,Mail-in Ballots/ Municipal Elections,43639,103853,F,0.296,C,S,Voting,Mall Ballots,Ballots,Elections,
JUN,1982,C,Employee Dental Plan,60257,88380,F,0.405,C,S,Dental Plan,Benefits,,,
JUN,1982,D,Surviving Spouse Health Benefits,68198,75191,F,0.476,C,S,Benefits,Health Svc,Spouse,Surviving,Death
JUN,1982,E,Surviving Spouse Retirement Benefits,54500,90694,F,0.375,C,S,Benefits,Spouse,Retirement,Surviving,Death
JUN,1982,F,Retirement System Administrative Changes,95166,36758,P,0.721,C,S,Actuarial,Retirement,,,
JUN,1982,G,Retirement Board Investment Powers,85678,47341,P,0.644,C,S,Retirement,Investments,Controller,,
JUN,1982,H,Composition of Health Service Board,47461,88934,F,0.348,C,S,Health Svc,Membership,,,
JUN,1982,I,Composition of Retirement System Board,38044,94978,F,0.286,C,S,Retirement Board,CivilService,,,
JUN,1982,J,"Sec/Gen Mgr Retirement System, Civil Service exempt",46977,84315,F,0.358,C,S,Civil Service,Retirement,,,
JUN,1982,K,"B.O.S's Legislative Aides, Civil Service exempt",62550,75944,F,0.452,C,S,Aides,Supervisors,CivilService,Legis. Aides,
JUN,1982,L,Top Vote-Getter to be B.O.S President,86117,55766,P,0.607,C,I,President,Supervisors,Board Pres.,Top Votes,
JUN,1982,M,Fingerprint Computer Acquisition,115212,28443,P,0.802,P,s,Fingerprint,Computer,Police Dept.,,
JUN,1982,N,PG & E  Electricity Rate Increase Opposition,90058,56638,P,0.614,P,s,PG&E Rates,Electric,"PUC, State",,
NOV,1982,A,"Office of Citizens Complaints, Police Dept.",124962,75212,P,0.624,C,S,Citizen Comp,Complaints,OCC,Police Dept.,Misconduct
NOV,1982,B,"Municipal Railway Acquisitions, eliminate limit",132182,46820,P,0.738,C,S,Muni railway,Equipment,Vehicles,,
NOV,1982,C,Industrial Development Financing,113256,70414,P,0.617,C,S,Industrial,Development,"Bonds, Ind",,
NOV,1982,D,Surviving Spouse Health Benefits,94280,95056,F,0.498,C,S,Health Svc,Death,Surviving,Spouse,Benefits
NOV,1982,E,Surviving Spouse Retirement Benefits,90759,100891,F,0.474,C,S,Retirement,Death,Surviving,Spouse,Benefits
NOV,1982,G,"Supervisors' Salaries $23,924 per year",118512,84788,P,0.583,C,S,Supervisors,Salaries,,,
NOV,1982,H,Employee Retirement Contribution 7.5%,109884,64937,P,0.629,C,S,Retirement,Contribution,Employees,,
NOV,1982,I,Police Retirement and Disability Plan,85985,102564,F,0.456,C,I,Retirement,Disability,Police Dept.,,
NOV,1982,J,Police Overtime Pay at rate of time and one-half,118160,79497,P,0.598,C,I,Police Dept.,Overtime Pay,Holiday Pay,Time & l/2,
NOV,1982,K,Electric Utility Ownership,73051,126655,F,0.366,O,I,PG&E,Electric Utl,Utility,Acquisition,
NOV,1982,L,City Hall Ramp Ban at Polk & Van Ness entrances,95479,99838,F,0.489,P,I,Ramps,Disabled,City Hall,,
