"Country","Alcoholic Beverages","Animal fats","Animal Products","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar & Sweeteners","Sugar Crops","Treenuts","Vegetable Oils","Vegetables","Vegetal Products","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Korea, South",4.8669,0.2553,11.8174,1.6794,11.7286,0.6414,3.4396,3.6993,4.4239,1.1394,0,0.2378,0.5632,0.072,0.0288,0.9799,0.0945,2.4835,6e-04,0.1664,1.1663,12.3349,38.181,4.9,"<2.5",0.156227187578455,0.00284081033583747,0.136855217164597,0.0165311600780209,51781000,"%"
"Kuwait",0.0044,0.0022,10.7213,0.0022,11.4132,1.3306,0.8343,5.3058,4.877,3.4788,0.8554,0.1969,0.2783,0.4353,0.202,3.2296,0.2696,2.9163,0.0276,0.1512,1.1976,12.9953,39.275,37,"2.8",3.6247282029418,0.0205499893412918,3.4340865487103,0.170091664890215,4691000,"%"
"Kyrgyzstan",0.6313,0.191,15.4588,0,10.1059,0.2653,0.07,2.2846,1.8707,12.8008,0.2076,0.2604,0.0098,0.3439,0.0197,5.8068,0.0608,3.2495,0,0.1449,0.355,11.3219,34.5412,15.4,"7.1",1.28892932969366,0.0215802244464665,1.23660903851987,0.0307400667273279,6594000,"%"
"Lao People's Democratic Republic",0.7883,0.0979,3.6579,6e-04,16.3943,0.1063,1.4213,8.8158,1.7111,0.1632,0.3404,0.1581,0.3584,0.1485,0.1317,3.4835,0.9869,1.1101,1.9254,0.0028,0.2149,11.641,46.3416,4.5,"16.5",0.000621375310687655,0,0.000566141949737642,5.52333609500138e-05,7242000,"%"
"Latvia",5.4573,1.1805,18.8216,5e-04,6.3952,0.6645,1.3226,2.5738,3.6559,11.8285,0.2596,0.1686,0.1107,0.0032,0.0122,6.5835,0.1963,2.6169,0,0.0793,0.699,6.1946,31.1757,25.7,"<2.5",3.74973711882229,0.0697686645636172,3.12297581493165,0.556992639327024,1902000,"%"
"Lebanon",0.7164,0.0796,8.0679,0,11.8253,0.173,0.7091,6.9852,1.9469,5.0748,0.0747,0.0853,0.5052,0.5011,0.0406,3.2676,0.3647,5.1366,0,0.5271,1.4807,10.5128,41.9252,31.3,"11",4.65693772893773,0.0521904761904762,2.94706227106227,1.65768498168498,6825000,"%"
"Lesotho",3.4135,0.0233,6.0914,0,23.4645,0.1204,0.2383,1.8065,2.529,2.7893,0.3898,0.3924,0.0725,1.1603,0.1165,7.1935,0.0363,2.2079,0,0.0052,0.6786,3.3721,43.8988,13.5,"13.1",0.437908496732026,0.00854341736694678,0.126330532212885,0.303034547152194,2142000,"%"
"Liberia",1.0338,0.0264,3.7603,0,16.1465,0.1598,0.7764,5.3606,2.4123,0.1545,0.2997,0.2311,0.4159,0.0977,0.0013,15.3608,0.0132,1.1236,1.1804,0.0779,1.9567,3.1728,46.2383,8.6,"37.2",0.0386714116251483,0.00166073546856465,0.034994068801898,0.00201660735468565,5058000,"%"
"Lithuania",5.5419,0.5316,23.049,9e-04,6.4732,0.7,1.5431,2.4007,3.7899,16.3529,0.0126,0.1301,0.0867,0.4388,0.0546,2.2766,0.2164,4.502,0,0.055,0.4924,4.4045,26.9471,28.4,"<2.5",6.66707229778096,0.104760200429492,4.93962061560487,1.6226914817466,2794000,"%"
"Luxembourg",8.0858,0.5443,14.6038,0.0051,5.1366,0.7875,1.6249,4.4841,4.0469,7.4929,0.3877,0.1036,0.1658,0.0399,0.0586,2.2067,1.2823,8.1121,0,0.0308,0.563,4.8536,35.3838,24.2,"<2.5",8.1506329113924,0.0933544303797468,7.66155063291139,0.395727848101266,632000,"%"
"Madagascar",0.7972,0.0415,4.9125,0.0024,19.9604,0.077,0.6267,5.0701,1.4618,2.5031,0.0782,0.2002,0.1848,0.3708,0.0486,14.4675,0.2085,1.0922,0.5852,0.0261,0.3115,1.8871,45.0869,4.5,"44.4",0.0688490845401033,0.00101477014192337,0.0657794951428262,0.00205481925535372,27691000,"%"
"Malawi",1.1827,0.0814,2.7754,0,10.6197,0.0829,0.697,8.4723,1.4923,0.2524,0.0396,0.1695,0.5436,1.1841,0.0139,20.2901,0.0389,0.6412,0,0.0161,0.204,3.9786,47.2242,4.7,"17.5",0.140486147412441,0.00437532671197073,0.0593204391008887,0.0767903815995818,19130000,"%"
"Malaysia",0.8948,0.0882,12.6354,0.0204,17.3088,1.6596,5.3482,4.1713,4.9092,0.53,0.1541,0.0789,0.5801,0.2617,0.4502,1.6568,0.1012,3.903,0,0.0835,1.6336,6.1678,37.3632,15.3,"2.5",0.72822976724322,0.00261431927030902,0.57036087977792,0.155254568194991,32781000,"%"
"Maldives",0.6859,0.0029,14.2704,0.0068,11.5385,1.1422,8.7959,6.0777,2.0051,2.3155,3.0315,0.0019,0.2082,0.0808,0.3434,1.6403,0.396,2.979,0.1002,0.7569,0.1819,7.718,35.7208,7.9,"10.3",3.07874306839187,0.0099815157116451,2.690573012939,0.37818853974122,541000,"%"
"Mali",2.8904,0.0444,10.1637,0,19.8566,0.0573,0.7543,3.8991,1.9124,7.1206,0.1841,0.2746,0.491,0.7955,0.0638,2.6772,0.0614,0.8811,0,0.2374,0.5144,7.2943,39.8262,7.1,"6.3",0.0402943064540023,0.00166905338008,0.0298948200088884,0.00873043306503382,20251000,"%"
"Malta",3.9051,0.2062,13.6092,0.0017,7.8996,0.6714,1.7922,4.631,4.6096,6.2546,0.0315,0.0747,0.2899,0.2197,0.0331,2.059,0.2101,5.2164,0,0.1236,0.486,11.2856,36.3899,31,"<2.5",3.55862068965517,0.053448275862069,3.04521072796935,0.459961685823755,522000,"%"
"Mauritania",0.0055,0.1127,15.0193,0,20.4873,0.2539,1.0025,1.2991,3.3994,9.825,0.7519,0.4279,0.0799,1.0999,0.0066,1.0168,0.3677,4.3166,0,0,1.5716,3.9784,34.9779,11.3,"10.4",0.361118279569893,0.00913978494623656,0.343763440860215,0.00821505376344086,4650000,"%"
"Mauritius",3.0805,0.0074,9.27,0.0102,17.1855,0.591,2.1303,3.568,4.6992,1.7166,1.0545,0.1173,0.4479,0.856,0.1847,1.8348,0.1625,3.568,0,0.0369,2.049,6.7122,40.7175,11.5,"6.5",0.0461660079051383,0.000790513833992095,0.0426877470355731,0.00268774703557312,1265000,"%"
"Mexico",4.4105,0.1672,15.1527,0.0201,11.4325,1.2967,0.9656,7.6794,4.3561,7.9917,0.0275,0.3552,0.1947,0.7071,0.1121,1.1644,0.0248,3.2266,0,0.1121,0.6856,5.0713,34.8456,28.4,"3.6",1.50719919869788,0.129731125579066,1.15980499561788,0.217663077500939,127792000,"%"
"Mongolia",3.143,0.3846,25.8904,0,10.1415,0.3727,0.044,1.0413,8.0929,15.856,0.5962,1.1411,0.0266,0.0366,0.0037,2.6155,0.1401,1.468,0,0.0137,0.555,4.3326,24.1046,19.6,"13.4",0.0601904195180006,5.9506099375186e-05,0.0431121689973222,0.0170187444213032,3361000,"%"
"Montenegro",2.2188,0.2067,22.8328,0.0014,5.0447,0.5542,0.6472,5.7297,3.3604,17.9487,0.847,0.1132,0.0865,0.2113,0.0175,1.1955,0.2605,6.0418,0,0.0948,0.4258,5.0001,27.1612,24.9,"<2.5",10.4081993569132,0.134405144694534,9.03987138263666,1.23392282958199,622000,"%"
"Morocco",0.287,0.1449,8.4754,0,18.7029,0.4848,1.3901,7.211,2.5074,3.754,0.0079,0.1949,0.1892,0.3306,0.1185,3.4356,0.2042,2.6816,0,0.2549,0.8168,7.286,41.5224,25.6,"3.4",1.32111148197597,0.0233116377392078,1.26257510013351,0.0352247441032488,35952000,"%"
"Mozambique",1.2195,0.0297,4.0111,0,13.1904,0.1932,1.1353,2.8312,0.9302,1.6385,0.1565,0.0852,0.1258,1.2809,0.004,22.2864,0.105,1.0649,0,0.2011,0.7509,2.7738,45.9864,6,"27.9",0.141538856446127,0.00144708977732144,0.0859590579477636,0.0541327087210422,31166000,"%"
"Myanmar",0.2195,0.1751,13.5188,0.0034,16.7608,0.4613,4.0424,4.0287,4.9753,3.6306,0.3391,0.2298,1.1003,1.2806,0.217,1.4514,0.2298,2.8592,0,0.2913,0.6322,7.0725,36.4807,5.7,"10.6",NA,NA,NA,NA,54704000,"%"
"Namibia",5.4716,0.1134,9.6094,0.0053,9.9189,0.1196,1.0164,3.1266,2.6844,5.4479,0.7228,0.2207,0.0818,0.7298,0.1266,12.8231,0.0888,3.9848,9e-04,0.0114,0.9531,2.3626,40.38,15,"27.3",1.37127115308933,0.0146005509641873,1.31282959464778,0.0438410074773711,2541000,"%"
"Nepal",0.3318,0.0312,5.4355,0,18.1511,0.1435,0.205,4.7443,0.9817,3.9212,0.0594,0.1536,0.0594,0.9107,0.4195,6.0521,0.0319,0.547,3.0677,0.0978,0.8209,9.277,44.5576,3.8,"8.7",0.906140818775837,0.00678423789838645,0.892825710094679,0.00653087078277104,29996000,"%"
"Netherlands",4.3903,0.3343,24.2977,0.0111,4.9685,0.747,1.1517,4.923,4.0105,18.0051,0,0.0397,0.1111,0.0852,0.064,4.2639,0.2904,2.3446,0,0.1587,0.8485,3.2587,25.6959,23.1,"<2.5",5.81529169290662,0.0828304803343448,0.0760634339039331,5.65639777866835,17467000,"%"
"New Caledonia",5.0363,0.0821,11.7818,0.0804,8.584,0.7494,2.0361,5.5855,5.8687,2.7675,3.6589,0.1993,2.2961,0.1275,0.0488,2.5648,0.1745,3.1901,0,0.0376,1.3157,5.5941,38.2208,NA,"7.1",NA,NA,NA,NA,295000,"%"
"New Zealand",5.222,0.7446,17.5777,0.017,7.7522,0.7067,1.6771,4.0202,6.8421,7.4627,0,0.1275,0.3296,0.2414,0.0495,3.3719,0.2374,3.8188,0.0109,0.1499,0.5364,6.6889,32.4155,32,"<2.5",0.0465209544816523,0.000501303388810908,0.0446962101463806,0.0013234409464608,4987000,"%"
"Nicaragua",1.7194,0.0836,13.1538,0.003,16.8052,0.549,0.6557,3.8377,3.1044,8.5527,0.6658,0.2055,0.3354,1.3618,0.006,1.9118,0.005,5.7021,0,0.003,0.9227,3.5808,36.8356,21.8,"17",0.0954972710733778,0.00257731958762887,0.0640539721043056,0.0288659793814433,6596000,"%"
"Niger",0.0558,0.1185,7.2385,0,22.2843,0.0239,0.2022,2.5503,1.2702,5.4224,0.0687,0.2022,1.4804,3.4838,0.0807,1.3489,0.0349,0.3666,0,0,0.3975,10.6117,42.7585,4.7,"16.5",0.0190086402910414,0.000682128240109141,0.0163297366571582,0.00199677539377403,24189000,"%"
"Nigeria",4.0037,0.0151,1.7391,0,10.922,0.1976,0.7239,4.4268,0.5675,0.173,0.0437,0.0627,0.4763,0.8311,0.1715,19.5271,0.0064,0.6501,0,0.0841,0.8573,6.2627,48.2585,7.8,"13.4",0.0675472979528476,0.000798971572717571,0.0546022120888716,0.0121461142912584,206140000,"%"
"North Macedonia",1.9045,0.3784,12.0639,0,7.3937,0.2847,0.3507,5.0893,2.0683,8.8045,0.2959,0.1773,0.3253,0.2847,0.1288,3.6779,0.2474,2.9104,0,0.1796,0.9505,14.5512,37.933,23.9,"3.2",4.54802884615385,0.140192307692308,4.02572115384615,0.382115384615385,2080000,"%"
"Norway",3.7939,0.6119,21.1992,5e-04,5.9777,0.6194,2.7466,4.2801,3.6083,13.5227,3.6634,0.0893,0.3113,0.3204,0.0235,2.8097,0.4819,2.2652,0,0.099,0.8697,3.9131,28.7933,25,"<2.5",1.2001670688695,0.0108037868943753,0.334100612585855,0.85526266938927,5387000,"%"
"Oman",0.2621,0.0571,13.5101,0,9.6835,0.5741,2.0105,9.787,3.0531,7.6265,0.0423,0.1888,0.1338,0.2776,0.2297,1.6984,0.1395,2.5903,0.0077,0.0521,0.6995,10.8902,36.486,22.9,"6.8",2.86528750265224,0.0325058349246764,2.70031826861871,0.132463399108848,4713000,"%"
"Pakistan",0.0085,0.0969,22.2758,0.0011,14.6224,0.3577,0.1831,2.4099,1.7957,19.6466,0.0117,0.1969,0.3577,0.6993,0.1618,1.8202,0.5258,2.6707,1.7915,0.0852,0.3417,2.2173,27.7226,7.8,"20.3",0.250961346972029,0.00541640264325156,0.230941432063004,0.0146035122657735,220940000,"%"
"Panama",6.6254,0.2467,12.3346,0.0031,14.2627,0.4604,1.005,6.6783,4.98,5.353,0.7431,0.2873,0.4589,0.4129,0.0153,1.3758,0.1195,4.2277,0,0.036,0.7645,1.948,37.6619,22.5,"10",7.62232080317535,0.127363997198226,6.77385010506654,0.721106700910577,4283000,"%"
"Paraguay",3.9095,0.2191,11.2654,0,7.5639,0.9035,0.3119,5.4532,4.0434,5.3208,0.1788,0.4675,0.2745,0.6185,0.0082,12.5302,1.0112,2.4084,0,0.0015,1.0733,3.7113,38.726,19,"10.7",1.89666436940041,0.0386905582356995,1.56259131633356,0.295382494831151,7255000,"%"
"Peru",3.8623,0.0316,8.6638,0.0014,11.814,0.6431,1.7993,8.5783,1.754,4.0729,0.0719,0.3629,0.2458,0.6367,0.0172,8.7924,0.2501,1.7339,0,0.023,0.5066,4.8044,41.3344,19.1,"9.7",3.57374177431148,0.127751035827443,3.31051364854984,0.135477089934194,32824000,"%"
"Philippines",1.9716,0.3074,6.7108,0,20.0498,0.3527,2.4506,8.5466,3.2257,0.1045,0.1925,0.2717,0.5425,0.1106,0.034,2.8773,0.5399,2.3774,0,0.1838,0.4119,5.4481,43.2905,6,"13.3",0.488698770772305,0.0101386189211633,0.445757019921337,0.0328031319298054,109581000,"%"
"Poland",6.8201,0.9842,16.559,0,7.9033,0.3702,0.5845,3.0079,4.85,9.7542,0,0.017,0.0798,0.1099,0.0202,5.5631,0.1509,2.4775,0,0.0476,0.3959,6.8655,33.439,25.6,"<2.5",4.0281745204337,0.101631567973311,3.39233475813178,0.534208194328607,38368000,"%"
"Portugal",4.7147,0.4077,18.6614,5e-04,6.2984,0.4053,2.7295,6.5126,4.5168,10.3936,0.1393,0.2079,0.0965,0.1618,0.0173,3.106,0.2684,1.7316,0,0.2319,0.7246,7.3366,31.3374,23.2,"<2.5",7.42960507069722,0.136070209653827,5.84683568990736,1.44669917113603,10255000,"%"
"Republic of Moldova",3.8296,0.4339,16.5343,0,11.6462,0.6795,0.991,3.4256,3.2622,10.9992,0.5083,0.1694,0.0616,0.0642,0.0068,3.9066,0.083,2.6632,0,0.018,0.825,6.4285,33.464,20.1,NA,4.64619519094767,0.0998585572842998,4.33369165487977,0.212644978783593,3535000,"%"
"Romania",4.7679,0.3474,15.9287,0,8.0412,0.6848,0.2844,4.2115,3.0499,11.4018,0.2567,0.1594,0.0974,0.1045,0.1274,4.713,0.1398,1.4126,0,0.1093,0.7301,9.3641,34.0679,24.5,"<2.5",3.86332830933943,0.0977547944493529,3.58335845330284,0.182215061587236,19241000,"%"
"Russian Federation",3.7425,0.2486,16.1525,0.0023,8.2803,0.9029,1.1312,3.162,4.318,9.3253,0.0118,0.2249,0.1319,0.1426,0.0118,6.3194,0.1809,4.6144,0,0.0118,0.8663,6.3713,33.8472,25.7,"<2.5",2.66310441413997,0.0511200616084998,2.31614224475748,0.295842107773984,146733000,"%"
"Rwanda",1.3631,0.0186,2.6366,0,3.538,0.0269,0.5279,15.7285,0.6257,1.3521,0.0283,0.0855,0.2233,2.5036,0.0179,20.4415,0.011,0.5782,0,0,0.2109,2.7193,47.3634,4.8,"36.8",0.12613495985176,0.00167541692402718,0.0930126621371217,0.0314468807906115,12952000,"%"
"Saint Kitts and Nevis",4.0867,0.1735,14.0252,0,6.3135,0.3868,3.4174,7.5449,7.8207,1.895,1.5442,0.3318,0.947,0.5422,0.0901,2.715,0.0749,6.4623,0,0.0673,1.385,4.209,35.9677,23.1,NA,0.0740740740740741,0,0.0666666666666667,0.00740740740740741,54000,"%"
"Saint Lucia",7.8024,0.0252,14.8893,9e-04,7.2091,0.3326,3.0652,5.9453,8.17,2.8881,1.6054,0.4063,0.6274,0.5663,0.178,2.6427,0.0602,3.7043,0,0.0575,0.6103,4.1169,35.0964,19.8,NA,0.996153846153846,0.00989010989010989,0.480769230769231,0.505494505494506,182000,"%"
"Saint Vincent and the Grenadines",2.526,0.022,11.0865,0,9.0142,0.3412,1.3785,10.471,6.9184,2.2593,1.9325,0.1672,0.1049,0.6452,0.2113,4.3734,0.2933,3.4592,0,0.0357,0.7227,5.1371,38.9005,23.8,"5.7",1.08288288288288,0.0027027027027027,0.361261261261261,0.718918918918919,111000,"%"
"Samoa",1.4236,0.2262,11.163,0.1236,3.6768,0.1314,2.7788,10.7845,5.7993,1.9647,0.7751,0.1398,10.5187,0,0.0582,7.6944,0.1344,2.0811,0.0036,0.0108,0.5117,1.1656,38.8349,45.5,"2.7",0.001,0,0.001,0,2e+05,"%"
"Sao Tome and Principe",1.5187,0.022,4.1199,0,7.3796,0.0562,2.3033,18.2736,1.2054,0.5152,0.424,0.0187,9.9865,0.3109,0.0293,3.7154,0.0073,2.5939,0,0.0024,0.7805,0.857,45.8801,10.6,"7",0.643333333333333,0.00857142857142857,0.504761904761905,0.13,210000,"%"
"Saudi Arabia",0,0.3917,12.9962,0,16.3284,0.6003,1.0369,7.0413,4.9529,5.8598,0.669,0.1547,0.1492,0.4768,0.2434,1.4542,0.205,2.8571,9e-04,0.1135,1.7626,5.7024,37.0038,35,"7.1",1.05579464056391,0.0182557575411661,1.03089809080791,0.00664079221483405,35041000,"%"
"Senegal",0.3209,0.0353,5.3434,0,25.9204,0.1878,2.0588,2.3456,1.6081,1.2496,0.0148,0.206,0.7637,0.4712,0.0717,2.6177,0.1161,2.0941,0,0.1047,1.9325,7.8951,44.6423,7.4,"11.3",0.17014452938366,0.00403129479216436,0.139106545628285,0.0270066889632107,16744000,"%"
"Serbia",4.392,0.2524,16.7466,0,9.7485,0.6322,0.4148,5.9753,3.5893,11.619,0.0067,0.2389,0.1322,0.1805,0.0242,2.545,0.243,2.0255,7e-04,0.1268,0.4644,7.3941,33.2476,23.5,"5.7",5.84090843754492,0.0591059364668679,0,5.78180250107805,6957000,"%"
"Sierra Leone",0.3009,0.0067,5.6877,0,19.9349,0.1343,2.5044,3.2119,0.7837,2.1711,0.2504,0.0857,0.5999,0.8913,0.0638,12.4228,0.0762,0.6323,0,0.1,1.276,4.5526,44.3138,7.5,"25.6",0.0472859470979065,0.000990347248338975,0.0307383728218629,0.0155572270277047,7977000,"%"
"Slovakia",6.1266,1.3559,18.9841,0,5.4026,0.939,0.7045,3.5463,4.3096,11.4696,0.029,0.2055,0.2055,0.0973,0.0421,3.6814,0.2513,5.5166,0,0.1118,1.438,4.5601,31.0231,22.4,"3.4",4.7926400585866,0.094013181984621,4.36142438667155,0.337202489930428,5462000,"%"
"Slovenia",4.9933,1.1248,18.9196,5e-04,7.6345,0.5376,0.6515,6.4367,4.161,12.2569,0.6133,0.1879,0.1285,0.1106,0.0561,2.6837,0.2615,2.4915,0,0.1972,0.4739,5.002,31.0774,22.5,"<2.5",8.2359010936757,0.171754636233952,7.31293390394674,0.751212553495007,2103000,"%"
"Solomon Islands",0.8298,0.1038,3.8504,0.0121,9.0233,0.0826,2.284,3.2798,0.8897,0.438,0.5585,0.0394,5.0334,0.7366,0.0364,24.25,0.0856,0.8268,0,0.0356,0.3327,1.1223,46.1492,20.5,"8.9",0.00237762237762238,0,0.0013986013986014,0.000979020979020979,715000,"%"
"South Africa",6.2658,0.0593,11.8433,9e-04,17.1035,0.594,0.5365,1.9355,5.3933,4.8155,9e-04,0.4448,0.2462,0.1546,0.0539,2.8503,0.1321,4.4677,0,0.0108,1.1726,3.7632,38.1554,27,"6.2",2.47148990407191,0.0774468370564164,2.24809988595962,0.14594318105588,59628000,"%"
"Spain",5.3152,0.2357,18.3382,0.0011,6.0548,0.7321,2.2646,4.8332,5.3456,9.5991,0,0.1605,0.265,0.2666,0.0069,3.0975,0.2229,1.8482,0,0.4287,1.5122,7.8139,31.6581,27.1,"<2.5",6.17611000314894,0.128867429411147,0.31568384591162,5.73155872782618,47635000,"%"
"Sri Lanka",0.681,0.0147,5.5328,0.0039,20.7839,0.4178,3.0173,4.1171,0.8845,1.0948,0.0303,0.0998,7.1364,0.9608,0.5244,1.9793,0.2818,2.7209,0,0.135,0.2466,4.8753,44.4618,5.4,"9",0.312604275880932,0.00160003646806765,0.285335278296941,0.0256689611159229,21937000,"%"
"Sudan",0,0.0958,13.1178,0,12.9192,0.1176,0.1018,7.0919,2.1133,10.4116,0.0741,0.2796,0.492,1.0631,0.0405,1.9167,0.1502,3.1231,0.7262,0,0.9366,8.3477,36.8813,7.4,"20.1",0.0675819288923351,0.00417569385846884,0.0497023877397432,0.013703847294123,43849000,"%"
"Suriname",4.1704,0.0438,6.7984,0,13.9476,0.5407,1.4348,8.6872,3.6451,1.0789,1.2414,0.0576,0.6757,0.1719,0.0224,2.4553,0.0903,4.7051,0.3207,0.0155,1.3351,5.3705,43.1917,26.5,"8.5",1.4297520661157,0.0264462809917355,1.31801652892562,0.0852892561983471,605000,"%"
"Sweden",4.4232,1.0442,24.0627,0,6.1923,0.7266,1.7659,3.5405,4.1476,16.3687,0.4623,0.0086,0.1712,0.0937,0.0484,2.8343,0.5533,2.5211,0,0.0996,0.3967,4.611,25.9282,22.1,"<2.5",5.66697504095596,0.11674857858726,0,5.5502264623687,10377000,"%"
"Switzerland",4.9978,0.4802,22.4227,0.0022,5.9818,0.5377,0.9109,4.6041,3.6314,16.706,0,0.1549,0.1124,0.0995,0.0382,2.1542,0.3727,2.9737,0,0.2377,1.0637,4.9478,27.5705,21.2,"<2.5",6.16021542738013,0.111257817929117,3.67848042622191,2.37047718322909,8634000,"%"
"Taiwan*",2.7663,0.1577,12.1312,0.0281,10.0808,1.09,2.3182,8.3904,6.0558,2.3299,0.1874,0.1507,1.0736,0.2077,0.1023,0.8565,0.1374,2.3455,0.2826,0.4185,1.8271,9.1938,37.8684,NA,"3.5",0.0039135959339263,3.81194409148666e-05,0.0035705209656925,0.000304955527318933,23610000,"%"
"Tajikistan",0.1423,0.0018,7.2363,0,13.3691,0.2255,0.0342,3.7863,1.5221,5.2373,0.2089,0.2144,0.1349,0.2486,0.0305,2.9278,0.0555,1.6607,0,0.0582,0.8419,19.2995,42.7642,12.6,NA,0.141139039134585,0.000954502068087814,0.140184537066497,0,9429000,"%"
"Thailand",3.6223,0.0902,7.7828,0.0325,17.5571,1.1143,2.6297,8.3291,2.4675,1.3279,0.009,0.1199,1.2775,0.2344,0.6626,1.8887,0.1262,4.0424,0,0.0938,0.7816,3.5962,42.2145,10.8,"7.8",0.0351264015390627,0.000118736285207563,0.0254636727086903,0.00954399254516488,66534000,"%"
"Timor-Leste",0.4459,0.0897,5.4983,0,26.332,0.1025,1.0225,2.1027,4.0376,0.1307,0.8905,0.1153,0.5612,0.9098,0.05,5.5022,1.0136,2.8203,0,0.0013,0.6842,3.1867,44.503,2.9,"24.9",0.00606980273141123,0,0.00462822458270106,0.00144157814871017,1318000,"%"
"Togo",1.0144,0.0292,3.6702,0,15.8144,0.1067,1.3178,0.91,1.4133,0.7246,0.7448,0.0775,0.4718,1.7626,0.0595,20.0654,0.0843,1.8312,0,0,1.4099,2.1637,46.3287,7.1,"16.1",0.0656601038772799,0.000954221524338688,0.0547771469984298,0.00992873535451141,8279000,"%"
"Trinidad and Tobago",2.4881,0.2804,12.7835,0,13.0903,0.4044,2.3299,4.9733,6.7063,2.8789,0.2413,0.1837,1.2016,0.8939,0.2305,3.5148,0.0899,5.62,0,0.0928,1.2563,3.5256,37.2145,19.7,"5.5",0.556026296566837,0.00986121256391527,0.529948867786706,0.0162162162162162,1369000,"%"
"Tunisia",0.7037,0.2083,9.6312,0,12.0523,0.4508,0.7615,5.4307,1.6411,6.4775,0.0116,0.0926,0.2031,0.4311,0.1065,1.7724,0.1979,2.0832,0,0.3489,1.2551,15.7731,40.3673,27.3,"4.3",1.81721587088097,0.0602051109616678,1.45330363147276,0.303707128446537,11896000,"%"
"Turkey",0.6474,0.1459,12.3156,0,9.708,0.3956,0.2582,6.8321,2.0694,9.3619,0.0101,0.0857,0.272,0.682,0.1251,2.4947,0.2002,1.7004,0,0.4664,1.0174,13.5284,37.6836,32.2,"<2.5",3.01513787214732,0.0318676331848526,2.88105019286576,0.102220046096708,83737000,"%"
"Turkmenistan",0.5038,0.3373,16.0611,0,14.8029,0.5139,0.2137,4.1441,4.3767,10.5606,0.253,0.0589,0.0661,0.1032,0.0015,2.3,0.0945,0.6746,0,0.0283,0.5655,10.4014,33.9389,17.5,"5.4",NA,NA,NA,NA,6031000,"%"
"Uganda",6.1671,0.0352,5.6473,0,6.748,0.0815,1.0442,11.3112,0.8978,3.4755,0.0371,0.113,0.6338,2.3942,0.012,12.361,0.013,1.2601,0,0,0.744,2.6703,44.3536,4.1,"41",0.0870575632364837,0.000714894733390175,0.0313701055945432,0.0549725629085503,45741000,"%"
"Ukraine",2.625,0.1753,13.1214,6e-04,9.3613,0.8434,0.6821,2.9418,2.7425,8.5442,0.007,0.1339,0.0175,0.1099,0.0111,7.6721,0.0883,3.8811,0,0.0807,0.647,9.4361,36.8777,26.1,"3.5",3.07592273445354,0.0592058020967974,2.65338216286084,0.363334769495907,41778000,"%"
"United Arab Emirates",0,0.1896,10.5491,0,12.906,0.5958,1.9682,8.1938,4.94,2.6468,0.9471,0.2095,0.6133,2.1108,0.3194,0.8937,0.1649,3.6576,0,0.5838,0.7949,8.2695,39.4461,29.9,"2.6",3.30744528533442,0.00934751482920843,3.07916751892002,0.218930251585191,9778000,"%"
"United Kingdom",5.2632,0.2754,18.8798,6e-04,6.5412,0.621,1.0911,4.9551,4.4181,12.3684,0.6658,0.1056,0.224,0.2035,0.0653,5.1133,0.2461,2.4383,0,0.0901,0.7372,4.5851,31.1116,29.5,"<2.5",5.86848272781417,0.167220071471114,0.0151608100059559,5.68610184633711,67160000,"%"
"United Republic of Tanzania",4.5185,0.0403,4.8022,0,10.4453,0.03,0.5828,6.8147,0.7902,3.3606,0.0214,0,1.2839,2.1761,0.0274,13.937,0.03,1.0345,0,0.042,0.9136,3.952,45.1973,7.1,"30.7",0.00085211102554659,3.51558576355175e-05,0.000306358187966652,0.00051059697994442,59734000,"%"
"United States of America",4.8647,0.1681,21.2352,0.002,5.5048,0.786,1.1287,4.5432,6.2645,12.8657,0,0.0197,0.3246,0.1893,0.049,2.839,0.2458,3.32,0,0.1772,0.9889,5.7249,28.7587,37.3,"<2.5",8.15992184989602,0.140103007778633,0,8.01981884211739,329878000,"%"
"Uruguay",3.5664,0.21,17.8865,0,10.251,0.7764,0.6058,5.3746,3.7863,12.3906,0.3918,0.1168,0.277,0.1936,0.0144,3.044,0.6169,3.4102,0,0.0131,1.0337,3.9333,32.1076,28.9,"<2.5",1.26910223732654,0.0136222033418295,1.08946474086661,0.166015293118097,3531000,"%"
"Uzbekistan",0.6835,0.1353,14.4463,0,10.5365,0.3566,0.1218,5.215,1.8621,11.7952,0.04,0.1748,0.0287,0.0022,0.0038,2.8891,0.0644,0.5796,0,0.0649,0.6109,14.8354,35.554,15.3,"6.3",0.231301574296249,0.00181717094867443,0.226751331421549,0.00273307192602563,34174000,"%"
"Vanuatu",0.2424,0.0793,6.6244,0,6.4102,0.1875,2.1649,5.8103,2.7466,1.2692,0.2882,0.1776,12.1763,8e-04,0.0374,12.7275,0.0305,1.3645,0,0.0038,0.3674,3.9175,43.3737,23.5,"7.2",0.000311526479750779,0,0.000311526479750779,0,321000,"%"
